Date,Amount,Description,Payee
2024-07-23,-48.25,CREDIT CARD PURCHASE SMART AND FINAL #1 ANAHEIM CA DATE 12/14 15277301931256 9 CARD 5,
2024-08-21,-21.77,PURCHASE AUTHORIZED ON 05/27 ROYAL FARMS 100 MONUMENT AVE A P NATIONAL HARBOR MD 0846248421604 CARD 44,
2024-08-21,-58,72116609 POS PURCHASE EARNIN RE SC 6 721582259,
2024-08-21,-70.61,Dunkin' Donuts,
2024-08-20,-52.34,Uber Eats,
2024-08-19,-15.47,Panera Bread,
2024-08-19,-4.79,5 PURCHASE-SIG DENNY'S 366992 EUGENE OR 6 039488,
2024-08-18,-186,American Airlines,
2024-08-18,-3,3947558 VISA PURCHASE PLAYSTUD 07057808 TAYLOR MI 8840321 748,
2024-08-18,-9.95,Bojangles,
2024-08-15,-134,GrubHub,
2024-08-15,-91.53,671 POS PURCHASE EARNIN RE SC 9671543 349619,
2024-08-15,-4.78,Popeyes,
2024-08-14,496,CASH DEPOSIT,
2024-08-14,-97.67,APPLE 857979823 NEWKIRK #4,
2024-08-07,-2.81,POS PUR 449399193 04/07 TIMESTAMP THE PIZZA PLACE 4205 NEW YORK NY 634330,
2024-08-06,-4.27,QUEENS BAR 35 E GRAND RIVER AVE #9 DETROIT MI CARD 29602991,
2024-08-06,-6.28,Walmart,
2024-08-06,-20.52,60904 PURCHASE-SIG 09/21 TIMESTAMP UPLIFT RE 9123348 562542 SC 63432961 3968766,
2024-08-06,-12.2,UBER 588639690 RIDE 05/12 CA 12095 DEBIT CARD PURCHASE 04/04 TIMESTAMP 8102241,
2024-08-05,-5.58,WITHDRAWAL 02178293119 POS POUR CHOICES,
2024-08-05,-25.98,Planet Fitness,
2024-08-05,-20,CASH APP TRANSFER,
2024-08-04,-38,WITHDRAWAL DEBIT CARD CONSUMER DEBIT PULSZ 252-291-2362 VA DATE 04/12 23978676735612 63546108 CARD 94353,
2024-08-04,-19,CASH APP TRANSFER,
2024-08-04,-3.25,MICROSOFT 979333884,
